Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,NEAR_ANGLE,RASTERVALU
Aatl,-60.69,49.88,OBIS, , ,1247648,1430.30526914,-60.7083333333,49.875,-112.874182888,2
Aatl,-54.27,52.38,OBIS, , ,1194090,1576.88793947,-54.2916666667,52.375,-110.651896619,2
Aatl,-60.86942,47.11192,OBIS, , ,1309396,1514.54616654,-60.875,47.125,-16.2337547108,2
Aatl,-61.73108,47.89342,OBIS, , ,1292396,2662.51361514,-61.7083333333,47.875,140.276318864,2
Aatl,-59.6855,67.63867,OBIS, , ,899315,1807.07748803,-59.7083333333,67.625,-147.52193023,2
Aatl,-58.4227,49.5957,OBIS, , ,1253373,4153.5686149,-58.4583333333,49.625,-38.3049292591,2
Aatl,-69.59,47.92,OBIS, , ,1290507,5000.47739627,-69.625,47.9583333333,-31.516768401,2
Aatl,-58.47592,44.11584,OBIS, , ,1382165,1737.11418244,-58.4583333333,44.125,54.1258791815,2
Aatl,-51.58,50.89,OBIS, , ,1225566,3172.08483735,-51.5416666667,50.875,121.724405432,2
Aatl,-53.86,51.76,OBIS, , ,1206072,3672.29151148,-53.875,51.7916666667,-16.3691897947,2
Aatl,-62.82808,47.22317,OBIS, , ,1307457,3213.85654576,-62.7916666667,47.2083333333,120.866261355,2
Aatl,-65.6765,42.78967,OBIS, , ,1417152,2613.94288063,-65.7083333333,42.7916666667,-85.1214809764,2
Aatl,21.12583333,70.96083333,OBIS, , ,825254,280.581175057,21.125,70.9583333333,-173.788962565,2
Aatl,-79.3696,74.5913,OBIS, , ,689551,3764.81154982,-79.375,74.625,-2.43387610711,2
Aatl,-51.11,49.82,OBIS, , ,1249648,3331.23188763,-51.125,49.7916666667,-161.081229948,2
Aatl,-50.93,48.37,OBIS, , ,1281401,2171.50259012,-50.9583333333,48.375,-75.154293445,2
Aatl,-53.6792,47.791668,OBIS, , ,1294284,2182.82395546,-53.7083333333,47.7916666667,-89.9931016612,2
Aatl,-62.91666667,62.23333333,OBIS, , ,974893,3529.99567596,-62.9583333333,62.2083333333,-142.101786574,2
Aatl,-51.31700134,51.84999847,OBIS, , ,1204397,3283.94332514,-51.2916666667,51.875,32.0937047204,2
Aatl,-61.6167,48.866665,OBIS, , ,1270229,1109.01726402,-61.625,48.875,-33.29804979,2
Aatl,-59.3833,57.033333,OBIS, , ,1086949,1056.02000783,-59.375,57.0416666667,28.4972887769,2
Aatl,-63.8085,47.48583,OBIS, , ,1301737,3309.98340223,-63.7916666667,47.4583333333,157.451076277,2
Aatl,-62.0408,48.8922,OBIS, , ,1270224,1913.82453627,-62.0416666667,48.875,-178.096378413,2
Aatl,-65.9505,41.969,OBIS, , ,1440119,1351.06140525,-65.9583333333,41.9583333333,-151.270532186,2
Aatl,-57.78,50.24,OBIS, , ,1240037,3619.44492274,-57.7916666667,50.2083333333,-166.697104338,2
Aatl,-60.08067,47.04392,OBIS, , ,1311338,2974.63498731,-60.0416666667,47.0416666667,94.816573578,2
Aatl,-58.979,49.155,OBIS, , ,1264657,3661.33497472,-58.9583333333,49.125,155.670166613,2
Aatl,-65.93333435,42.23333359,OBIS, , ,1433163,3460.01154694,-65.9583333333,42.2083333333,-143.369666537,2
Aatl,-54.72,50.87,OBIS, , ,1225528,991.85968825,-54.7083333333,50.875,55.8847344254,2
Aatl,-59.63,49.84,OBIS, , ,1247661,3909.48864736,-59.625,49.875,5.27476747021,2
Aatl,-60.94,58.3,OBIS, , ,1055854,1420.3796398,-60.9583333333,58.2916666667,-130.796735742,2
Aatl,-52.3167,51.791668,OBIS, , ,1206091,1727.20909826,-52.2916666667,51.7916666667,89.9950859912,2
Aatl,-68.54,48.88,OBIS, , ,1270179,569.317524741,-68.5416666667,48.875,-167.599454581,2
Aatl,-50.75,49.27,OBIS, , ,1260976,3872.64162442,-50.7083333333,49.2916666667,51.5052687119,2
Aatl,33.44866667,71.9085,OBIS, , ,795528,3753.12076837,33.4583333333,71.875,174.867090504,2
Aatl,-67.0303,70.7909,OBIS, , ,829587,426.226801145,-67.0416666667,70.7916666667,-78.4174629188,2
Aatl,-59.179722,49.228056,OBIS, , ,1262790,3025.85698855,-59.2083333333,49.2083333333,-136.44948121,2
Aatl,-63.25367,47.73867,OBIS, , ,1296077,4416.23189402,-63.2916666667,47.7083333333,-139.783530493,2
Aatl,-54.12,52.43,OBIS, , ,1192367,3171.09148093,-54.125,52.4583333333,-6.15268045646,2
Aatl,-50.525,51.375,OBIS, , ,1214931,1160.50515937,-50.5416666667,51.375,-89.9934895985,2
Aatl,-50.61700058,51.25,OBIS, , ,1216731,4669.05594639,-50.625,51.2916666667,-6.86399635965,2
Aatl,-56.82767,44.7145,OBIS, , ,1367286,2934.10991552,-56.7916666667,44.7083333333,103.493831247,2
Aatl,-68.146,61.5017,OBIS, , ,985773,4591.86942877,-68.125,61.5416666667,14.0769610825,2
Aatl,-61.49666667,67.45833333,OBIS, , ,901548,1640.56245625,-61.4583333333,67.4583333333,89.9822846625,2
Aatl,-67.97,49.15,OBIS, , ,1264573,2907.72541034,-67.9583333333,49.125,162.971233394,2
Aatl,-63.60409,47.42567,OBIS, , ,1301739,3959.1907449,-63.625,47.4583333333,-23.4677563563,2
Aatl,-67.92,48.98,OBIS, , ,1268317,3699.07063511,-67.9583333333,48.9583333333,-130.631895795,2
Aatl,-68.3005,49.0245,OBIS, , ,1266440,2015.42124231,-68.2916666667,49.0416666667,18.6892343725,2
Aatl,-63.741,46.97667,OBIS, , ,1313221,3214.91079435,-63.7083333333,46.9583333333,129.339390738,2
Aatl,-60.469,58.117,OBIS, , ,1060021,1090.46504212,-60.4583333333,58.125,35.1981793246,2
Aatl,-58.1336,67.6308,OBIS, , ,899334,742.961584107,-58.125,67.625,150.533102032,2
Aatl,-60.5197,48.662,OBIS, , ,1275821,4421.4926862,-60.5416666667,48.625,-158.515457715,2
Aatl,-68.87,48.74,OBIS, , ,1273909,3540.63548166,-68.875,48.7083333333,-174.034278332,2
Aatl,-61.551,60.364,OBIS, , ,1007441,1329.40253509,-61.5416666667,60.375,22.7874039353,2
Aatl,-63.19442,46.73667,OBIS, , ,1319004,3324.79067774,-63.2083333333,46.7083333333,-161.33699881,2
Aatl,-69.0,48.416667,OBIS, , ,1279451,5565.24240995,-68.9583333333,48.4583333333,33.62460333,2
Aatl,-65.1422,50.0102,OBIS, , ,1243770,3710.69129709,-65.125,50.0416666667,19.3926906258,2
Aatl,-58.5,64.0,OBIS, , ,946605,5072.05366858,-58.4583333333,64.0416666667,23.6640476587,2
Aatl,-61.208,65.292,OBIS, , ,929699,40.2888945012,-61.2083333333,65.2916666667,-157.291086079,2
Aatl,-68.1522,62.0279,OBIS, , ,977500,2092.97760241,-68.125,62.0416666667,42.8459088502,2
Aatl,-48.48,47.0,OBIS, , ,1311460,4916.30699793,-48.4583333333,47.0416666667,19.5680322854,2
Aatl,-50.39,46.38,OBIS, , ,1326976,1280.88780983,-50.375,46.375,115.71069657,2
Aatl,-64.8833,49.683334,OBIS, , ,1251408,2844.25710236,-64.875,49.7083333333,12.1506445423,2
Aatl,-58.8847,49.911,OBIS, , ,1247670,4064.38066629,-58.875,49.875,170.121965052,2
Aatl,-52.3167,44.700001,OBIS, , ,1367340,2189.36960512,-52.2916666667,44.7083333333,64.9718110624,2
Aatl,-63.1833,50.049999,OBIS, , ,1243793,2018.43802721,-63.2083333333,50.0416666667,-117.323928622,2
