Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Dcon,-1.985133184,50.6915211,1229694,2661.33953738,-1.95833333333,50.7083333333,1
Dcon,-0.110421334,54.13197456,1157599,1229.22661248,-0.125,54.125,1
Dcon,-5.494057,55.603738,1122072,3266.62293538,-5.45833333333,55.625,1
Dcon,-8.000725,51.792862,1206606,2827.91815034,-8.04166666667,51.7916666667,1
Dcon,-2.489576,56.551015,1099737,2185.54834915,-2.45833333333,56.5416666667,1
Dcon,-7.564194,51.971798,1203192,2154.49671574,-7.54166666667,51.9583333333,1
Dcon,-6.443689,55.57295,1124091,3603.40429117,-6.45833333333,55.5416666667,1
Dcon,-7.446225,57.062386,1087572,2421.50732447,-7.45833333333,57.0416666667,1
Dcon,-1.460156,60.233194,1011555,2771.71857992,-1.45833333333,60.2083333333,1
Dcon,-2.329268,56.821056,1093672,3998.32144009,-2.29166666667,56.7916666667,1
Dcon,-8.945,54.298,1153753,1118.33293477,-8.95833333333,54.2916666667,1
Dcon,-63.91699982,44.49000168,1373523,4816.54080607,-63.9583333333,44.4583333333,1
Dcon,-6.51477,57.549215,1075318,1816.77516535,-6.54166666667,57.5416666667,1
Dcon,-4.52999,50.322376,1238771,3515.77285433,-4.54166666667,50.2916666667,1
Dcon,-7.03892,57.709283,1071170,194.924694565,-7.04166666667,57.7083333333,1
Dcon,-5.567761,56.410822,1103773,4301.99125035,-5.54166666667,56.375,1
Dcon,-5.130483354,51.97138514,1203221,1500.33819345,-5.125,51.9583333333,1
Dcon,-3.172168571,51.41815638,1213700,5128.75809123,-3.20833333333,51.4583333333,1
Dcon,1.179179,51.655707,1210158,3968.08698653,1.20833333333,51.625,1
Dcon,-9.226953,54.212707,1155669,1308.74524518,-9.20833333333,54.2083333333,1
Dcon,-4.984585,55.167712,1132221,4821.47564273,-4.95833333333,55.2083333333,1
Dcon,-3.765374,56.000285,1111892,4890.5553453,-3.79166666667,56.0416666667,1
Dcon,-5.819528,55.683944,1120045,3231.54124628,-5.79166666667,55.7083333333,1
Dcon,-0.866307,50.79405,1227908,667.826633875,-0.875,50.7916666667,1
Dcon,-2.284069,50.619356,1231501,826.598492678,-2.29166666667,50.625,1
Dcon,-4.683600236,51.69415719,1208378,2326.26869009,-4.70833333333,51.7083333333,1
Dcon,-22.01666667,64.41666667,940965,4798.70073937,-22.0416666667,64.4583333333,1
Dcon,-67.14905556,44.87044444,1363053,1967.15869258,-67.125,44.875,1
Dcon,-2.2217043,55.93235432,1113961,3010.75438589,-2.20833333333,55.9583333333,1
Dcon,-8.717222222,41.225,1461558,1995.42615207,-8.70833333333,41.2083333333,1
Dcon,-6.130842,57.112755,1085545,1408.80253416,-6.125,57.125,1
Dcon,-8.290015,51.702631,1208337,644.643309171,-8.29166666667,51.7083333333,1
Dcon,-3.714038,54.832704,1142150,4582.97822302,-3.70833333333,54.7916666667,1
Dcon,0.591363,51.490289,1213711,4254.66040537,0.625,51.4583333333,1
Dcon,-5.699433,57.755577,1069094,4054.18030156,-5.70833333333,57.7916666667,1
Dcon,-3.684417,50.247767,1240673,4706.63386505,-3.70833333333,50.2083333333,1
Dcon,-4.716698,51.12768,1220829,657.117389846,-4.70833333333,51.125,1
Dcon,-4.175922,54.735414,1144082,3667.33218982,-4.20833333333,54.7083333333,1
Dcon,-5.71202,56.226753,1107802,2063.66682989,-5.70833333333,56.2083333333,1
Dcon,22.0595,78.6313,536654,805.591178133,22.0416666667,78.625,1
Dcon,-3.858253171,53.29094623,1175718,1119.62809869,-3.875,53.2916666667,1
Dcon,-9.950858,53.304567,1175686,1519.75424861,-9.95833333333,53.2916666667,1
Dcon,-4.232946,58.508696,1050359,3942.55503325,-4.20833333333,58.5416666667,1
Dcon,-3.861464,57.975609,1064888,2084.2426202,-3.875,57.9583333333,1
Dcon,-5.207213,49.945808,1246389,1395.48772072,-5.20833333333,49.9583333333,1
Dcon,-5.770595,50.018812,1244472,2956.66295758,-5.79166666667,50.0416666667,1
Dcon,-5.776384,55.235658,1132211,3193.68771095,-5.79166666667,55.2083333333,1
Dcon,-9.482421,52.772132,1186002,2714.28084411,-9.45833333333,52.7916666667,1
Dcon,-9.739499,51.779999,1206602,2512.03874768,-9.70833333333,51.7916666667,1
Dcon,-10.025094,51.685538,1208329,2783.07486938,-10.0416666667,51.7083333333,1
Dcon,-0.015441,50.782677,1227917,2102.4607034,-0.0416666666667,50.7916666667,1
Dcon,-2.96833,56.188822,1107810,2259.37807422,-2.95833333333,56.2083333333,1
Dcon,-7.741,55.18,1132192,3778.53609414,-7.70833333333,55.2083333333,1
Dcon,-14.28333333,64.66666667,937537,4662.32263777,-14.2916666667,64.7083333333,1
Dcon,-4.251535328,51.64927391,1210146,3874.69438675,-4.29166666667,51.625,1
