Sps,lon,lat,Soruce,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Gset,-74.61252,62.1188,OBIS,545430,0.0139362910128,-74.625004215,62.124993915,1
Gset,-91.7,74.67,GBIF,255361,0.0392229868868,-91.708336865,74.708326745,1
Gset,-94.89,74.68,GBIF,255335,0.0320515575891,-94.875003405,74.708326745,1
Gset,-64.03,67.56,GBIF,469727,0.0217384813714,-64.041671305,67.541660365,1
Gset,-63.53,59.29,GBIF,600775,0.0117888818443,-63.541671325,59.291660695,1
Gset,-81.79,69.37,GBIF,436864,0.00526566029047,-81.791670595,69.374993625,1
Gset,-63.716816,63.716816,GBIF,520742,0.0119973629788,-63.708337985,63.708327185,1
Gset,-62.14067,62.14067,GBIF,545550,0.0221616965745,-62.125004715,62.124993915,1
Gset,-58.786389,58.786389,GBIF,612879,0.0074629715105,-58.791671515,58.791660715,1
Gset,67.2,70.8,GBIF,400153,0.0117826744385,67.208323445,70.791660235,1
Gset,-173.3,64.4,GBIF,510778,0.0263580871921,-173.291666935,64.374993825,1
Gset,-67.116667,66.433333,GBIF,483990,0.0263480158927,-67.125004515,66.458327075,1
Gset,-146.18,60.75,GBIF,569988,0.0503931332883,-146.208334685,60.708327305,1
Gset,-146.095,70.186667,GBIF,415436,0.0370031573361,-146.125001355,70.208326925,1
Gset,-160.041667,70.636667,GBIF,403187,0.0116734250093,-160.041667465,70.624993575,1
Gset,-156.5,71.366667,GBIF,379869,0.042489575091,-156.458334275,71.374993545,1
Gset,-142.291667,69.8925,GBIF,424379,0.0175063950394,-142.291668175,69.874993605,1
Gset,-163.755556,66.5875,GBIF,481589,0.0520558088524,-163.791667315,66.624993735,1
Gset,-167.833333,65.758333,GBIF,492289,0.0533550425287,-167.791667155,65.791660435,1
Gset,-66.066669,45.277807,GBIF,922220,0.028580222822,-66.041671225,45.291661255,1
Gset,-80.9495,71.8901,KimTrawl,363898,0.0175015247862,-80.958337295,71.874993525,1
