Sp,lon,lat,Source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Aesc,-17.16667,66.2,OBIS,918345,2094.05160907,-17.2083333333,66.2083333333,1
Aesc,-4.595785523,52.79380925,OBIS,1186023,1985.12945732,-4.625,52.7916666667,1
Aesc,-7.096487119,57.60601765,OBIS,1073250,2715.36970086,-7.125,57.625,1
Aesc,-147.579,70.322,OBIS,843754,3664.09817945,-147.541666667,70.2916666667,1
Aesc,-4.901336922,52.03122565,OBIS,1201516,2148.48634281,-4.875,52.0416666667,1
Aesc,-4.18214,54.80767,OBIS,1142144,2451.82501721,-4.20833333333,54.7916666667,1
Aesc,-6.93049,52.12469,OBIS,1199779,1907.21276561,-6.95833333333,52.125,1
Aesc,-4.982166667,50.54372222,OBIS,1233296,1704.8406734,-4.95833333333,50.5416666667,1
Aesc,-5.96306,55.04496,OBIS,1136217,475.09220853,-5.95833333333,55.0416666667,1
Aesc,-8.637567945,57.82339632,OBIS,1069060,3611.98868604,-8.625,57.7916666667,1
Aesc,-65.38,44.94,OBIS,1361022,2075.25536984,-65.375,44.9583333333,1
Aesc,-13.66666667,65.2,OBIS,931111,2160.61259563,-13.7083333333,65.2083333333,1
Aesc,-4.58575,48.63857,OBIS,1276436,3263.00307086,-4.625,48.625,1
Aesc,-8.874594,42.432517,OBIS,1426929,2867.92291182,-8.875,42.4583333333,1
Aesc,-3.821176,50.15576,OBIS,1242581,4019.53877094,-3.79166666667,50.125,1
Aesc,-4.71713,48.06608,OBIS,1289349,2792.63810326,-4.70833333333,48.0416666667,1
Aesc,-22.01666667,64.41666667,OBIS,940965,4798.70073937,-22.0416666667,64.4583333333,1
Aesc,26.51406667,76.51233333,OBIS,618684,3352.37605821,26.5416666667,76.5416666667,1
Aesc,-8.66263,54.27254,OBIS,1153757,3246.46551741,-8.625,54.2916666667,1
Aesc,-4.78647,55.35534,OBIS,1128161,2213.41974512,-4.79166666667,55.375,1
Aesc,-7.336586668,57.02457052,OBIS,1087573,3010.75085079,-7.375,57.0416666667,1
Aesc,-16.75,66.25,OBIS,917250,5009.16430697,-16.7083333333,66.2916666667,1
Aesc,-9.72164,52.65701,OBIS,1189440,3674.18369826,-9.70833333333,52.625,1
Aesc,-5.612293061,51.72322414,OBIS,1208369,1875.14304618,-5.625,51.7083333333,1
Aesc,-1.614175227,55.53296181,OBIS,1124110,1185.88233273,-1.625,55.5416666667,1
Aesc,-8.29295,51.81191,OBIS,1206603,2254.08483951,-8.29166666667,51.7916666667,1
Aesc,-23.03,64.72,OBIS,937526,1414.64905237,-23.0416666667,64.7083333333,1
Aesc,-60.98,45.33,OBIS,1352933,4586.60173718,-60.9583333333,45.2916666667,1
Aesc,-9.87682,53.61727,OBIS,1168614,868.720889421,-9.875,53.625,1
Aesc,-4.249274,50.328148,OBIS,1238775,4997.25301946,-4.20833333333,50.2916666667,1
Aesc,4.190674748,53.61507927,OBIS,1168712,1607.65076224,4.20833333333,53.625,1
Aesc,-70.59200287,43.16600037,OBIS,1408216,5287.05111519,-70.625,43.125,1
Aesc,-70.21399689,43.62599945,OBIS,1395094,470.394480792,-70.2083333333,43.625,1
Aesc,-65.80601556,44.97985204,OBIS,1361017,2645.78010492,-65.7916666667,44.9583333333,1
Aesc,-10.34196,52.218982,OBIS,1198053,2550.27478154,-10.375,52.2083333333,1
Aesc,-59.95999908,45.89599991,OBIS,1338838,2337.69929732,-59.9583333333,45.875,1
Aesc,-10.323257,51.859801,OBIS,1204889,2755.84723978,-10.2916666667,51.875,1
Aesc,-4.939806,50.132816,OBIS,1242567,1584.57029424,-4.95833333333,50.125,1
Aesc,-5.469250068,58.02443537,OBIS,1062768,2024.65964303,-5.45833333333,58.0416666667,1
Aesc,-66.4667,45.05,OBIS,1358970,1136.73313991,-66.4583333333,45.0416666667,1
Aesc,-2.12925,50.6048,OBIS,1231503,2267.11009647,-2.125,50.625,1
Aesc,-62.38,44.91,OBIS,1363081,3909.54127446,-62.375,44.875,1
Aesc,-6.130842,57.112755,OBIS,1085545,1408.80253416,-6.125,57.125,1
Aesc,-6.423001714,56.49983548,OBIS,1101750,5108.42390871,-6.45833333333,56.4583333333,1
Aesc,-69.39700317,48.35100174,OBIS,1281283,3127.2139265,-69.375,48.375,1
Aesc,-4.57308741,52.142735,OBIS,1199808,2919.4220591,-4.54166666667,52.125,1
Aesc,-8.95213,54.2929,OBIS,1153753,426.624943935,-8.95833333333,54.2916666667,1
Aesc,-4.092222222,52.41388889,OBIS,1194653,4868.73505677,-4.125,52.375,1
Aesc,-4.061446,58.511565,OBIS,1050361,3545.43982563,-4.04166666667,58.5416666667,1
Aesc,-5.283296,54.980204,OBIS,1138206,2493.02730343,-5.29166666667,54.9583333333,1
Aesc,-5.758851193,56.85356032,OBIS,1091650,3115.46036094,-5.79166666667,56.875,1
Aesc,-6.066,53.156,OBIS,1179127,3814.94014378,-6.04166666667,53.125,1
Aesc,-3.3122311,58.916312,OBIS,1042184,4752.13273482,-3.29166666667,58.875,1
Aesc,-0.125014,54.129971,OBIS,1157599,553.309727536,-0.125,54.125,1
Aesc,-4.75995,54.184098,OBIS,1155686,3400.31954177,-4.79166666667,54.2083333333,1
Aesc,-2.099839204,57.70067656,OBIS,1071215,1725.51081119,-2.125,57.7083333333,1
Aesc,-4.448478,54.100937,OBIS,1157577,2754.83957843,-4.45833333333,54.125,1
Aesc,-5.957632013,56.65315672,OBIS,1097709,3135.64158209,-5.95833333333,56.625,1
Aesc,-69.995418,43.732691,GBIF,1392902,4031.66064608,-69.9583333333,43.7083333333,1
Aesc,5.2775,59.411944,GBIF,1030346,4193.60630542,5.29166666667,59.375,1
Aesc,-4.486165,48.390756,GBIF,1281959,2705.46402249,-4.45833333333,48.375,1
Aesc,-70.90227,42.419542,GBIF,1426185,4858.18697836,-70.875,42.4583333333,1
Aesc,-68.059022,44.339109,GBIF,1375620,4221.37535294,-68.0416666667,44.375,1
Aesc,-70.628656,42.692039,GBIF,1419353,1834.70716343,-70.625,42.7083333333,1
Aesc,-52.8806,47.0353,GBIF,1311407,825.900767098,-52.875,47.0416666667,1
Aesc,-166.21,64.47,GBIF,940404,1303.12242046,-166.208333333,64.4583333333,1
Aesc,5.15,60.18,GBIF,1011634,3447.96890446,5.125,60.2083333333,1
Aesc,-54.81,49.69,GBIF,1251500,2430.47046846,-54.7916666667,49.7083333333,1
Aesc,4.92,60.49,GBIF,1006559,4110.22746272,4.95833333333,60.4583333333,1
Aesc,-63.52,59.3,GBIF,1031455,1544.68194602,-63.5416666667,59.2916666667,1
Aesc,-94.22,58.81,GBIF,1043272,2150.6592141,-94.2083333333,58.7916666667,1
Aesc,-58.41,49.11,GBIF,1264664,3051.35433615,-58.375,49.125,1
Aesc,-63.54,50.23,GBIF,1239972,2412.98810362,-63.5416666667,50.2083333333,1
Aesc,-57.95,49.61,GBIF,1253379,1773.68080909,-57.9583333333,49.625,1
Aesc,-64.34,60.23,GBIF,1010809,3096.9862639,-64.375,60.2083333333,1
Aesc,-55.86,47.07,GBIF,1311388,3349.700561,-55.875,47.0416666667,1
Aesc,-93.85,58.77,GBIF,1043276,2813.50376167,-93.875,58.7916666667,1
Aesc,-64.06,67.52,GBIF,900407,2539.91961507,-64.0416666667,67.5416666667,1
Aesc,-9.426944,51.4775,GBIF,1213629,3050.40741962,-9.45833333333,51.4583333333,1
Aesc,-63.55141,44.572628,GBIF,1371406,3526.53499085,-63.5416666667,44.5416666667,1
Aesc,-54.081773,47.104674,GBIF,1309476,3790.89582512,-54.0416666667,47.125,1
Aesc,-166.550486,53.900468,GBIF,1162059,2893.36886617,-166.541666667,53.875,1
Aesc,-122.610364,48.13612,GBIF,1286809,1647.95736532,-122.625,48.125,1
Aesc,-68.753896,44.224556,GBIF,1379907,3515.70245116,-68.7916666667,44.2083333333,1
Aesc,-69.198809,44.016084,GBIF,1384213,2943.3231564,-69.2083333333,44.0416666667,1
Aesc,-70.615,42.988417,GBIF,1412621,3440.180281,-70.625,42.9583333333,1
Aesc,-68.954085,42.912627,GBIF,1414868,4194.38753872,-68.9583333333,42.875,1
Aesc,-68.889416,44.034753,GBIF,1384217,1387.56339416,-68.875,44.0416666667,1
Aesc,-68.819062,43.853821,GBIF,1388558,3222.96610167,-68.7916666667,43.875,1
Aesc,-68.36056,44.11333,GBIF,1382063,1737.08206675,-68.375,44.125,1
Aesc,-67.701829,44.510456,GBIF,1371377,3506.53856682,-67.7083333333,44.5416666667,1
Aesc,-69.32211,43.757468,GBIF,1390727,4521.6454974,-69.2916666667,43.7916666667,1
Aesc,-67.492857,44.611691,GBIF,1369275,3113.74509296,-67.4583333333,44.625,1
Aesc,-61.099313,46.429074,GBIF,1324894,3804.54538176,-61.125,46.4583333333,1
Aesc,-63.915833,44.483333,GBIF,1373524,4274.76284832,-63.875,44.4583333333,1
Aesc,-59.051271,48.517304,GBIF,1277683,2800.47366405,-59.0416666667,48.5416666667,1
Aesc,-53.02024,47.610071,GBIF,1298052,2312.92699176,-53.0416666667,47.625,1
Aesc,-66.734191,44.941444,GBIF,1361006,2772.50426664,-66.7083333333,44.9583333333,1
Aesc,-53.923457,48.01086,GBIF,1288758,4301.21500774,-53.9583333333,48.0416666667,1
Aesc,-133.506868,55.824013,GBIF,1117235,4210.80436134,-133.541666667,55.7916666667,1
Aesc,-4.015331,48.748269,GBIF,1274590,4845.26142369,-4.04166666667,48.7083333333,1
Aesc,-94.883333,74.666667,GBIF,686015,4657.08724303,-94.875,74.7083333333,1
Aesc,-59.140262,47.580118,GBIF,1299889,4426.68843186,-59.125,47.5416666667,1
Aesc,-135.39667,57.09944,GBIF,1084674,3134.63394313,-135.375,57.125,1
Aesc,-122.023884,36.952773,GBIF,1583380,1699.75004879,-122.041666667,36.9583333333,1
Aesc,-132.490033,55.75473,GBIF,1117241,4568.35760046,-132.458333333,55.7916666667,1
Aesc,-66.828632,44.706367,GBIF,1367191,2937.53641421,-66.7916666667,44.7083333333,1
Aesc,-64.348812,49.807973,GBIF,1249514,2616.09882413,-64.375,49.7916666667,1
Aesc,-65.731029,49.235649,GBIF,1262728,3458.62909274,-65.7083333333,49.2083333333,1
Aesc,-134.909827,58.240073,GBIF,1057708,4084.85433937,-134.875,58.2083333333,1
Aesc,-60.1325,47.2,GBIF,1307489,1086.8407919,-60.125,47.2083333333,1
Aesc,-56.166667,46.766667,GBIF,1317155,4224.77408289,-56.2083333333,46.7916666667,1
Aesc,24.310833,70.685278,GBIF,832841,2667.79849828,24.2916666667,70.7083333333,1
Aesc,-60.48,46.92,GBIF,1313258,4569.69190999,-60.4583333333,46.9583333333,1
Aesc,-66.1,44.5,GBIF,1371396,5038.66153002,-66.125,44.5416666667,1
Aesc,-72.303415,41.138988,GBIF,1463111,1840.20686428,-72.2916666667,41.125,1
Aesc,-65.922734,44.600165,GBIF,1369293,3949.83124167,-65.9583333333,44.625,1
Aesc,-52.735545,47.65811,GBIF,1298055,4211.01561247,-52.7083333333,47.625,1
Aesc,-5.550868,50.062292,GBIF,1244475,2386.9265512,-5.54166666667,50.0416666667,1
Aesc,-71.857288,41.072046,GBIF,1465415,3687.71712982,-71.875,41.0416666667,1
Aesc,-71.290699,41.487894,GBIF,1453870,3284.09307014,-71.2916666667,41.4583333333,1
Aesc,-4.738889,50.666944,GBIF,1229684,5085.43687546,-4.70833333333,50.7083333333,1
Aesc,-57.206111,47.598056,GBIF,1298014,3000.36418792,-57.2083333333,47.625,1
Aesc,-53.6,46.633333,GBIF,1321052,2126.84034397,-53.625,46.625,1
Aesc,-66.26883,44.32806,GBIF,1377785,4435.49748872,-66.2916666667,44.2916666667,1
Aesc,-65.63362,44.76528,GBIF,1365130,3010.61131005,-65.625,44.7916666667,1
Aesc,-61.0325,45.616667,GBIF,1344865,1169.99129966,-61.0416666667,45.625,1
Aesc,-65.749167,43.466667,GBIF,1399526,3431.7941503,-65.7083333333,43.4583333333,1
Aesc,-64.549167,45.616667,GBIF,1344851,1095.42243625,-64.5416666667,45.625,1
Aesc,-58.038333,47.690278,GBIF,1296130,2023.0066044,-58.0416666667,47.7083333333,1
Aesc,-63.122249,44.691607,GBIF,1367210,1871.4737006,-63.125,44.7083333333,1
Aesc,-64.44103,44.21331,GBIF,1379941,1489.37545621,-64.4583333333,44.2083333333,1
Aesc,-66.00852,43.888551,GBIF,1388591,3059.90759011,-66.0416666667,43.875,1
Aesc,8.206323,58.124534,GBIF,1060812,129.334458719,8.20833333333,58.125,1
Aesc,-7.110564,58.110038,GBIF,1060661,1871.10518709,-7.125,58.125,1
Aesc,7.351834,58.005853,GBIF,1062905,4217.23166907,7.375,58.0416666667,1
Aesc,6.726655,58.062751,GBIF,1062897,2585.5524689,6.70833333333,58.0416666667,1
Aesc,-4.6525,51.1625,GBIF,1220830,4594.39085245,-4.625,51.125,1
Aesc,-156.5,71.333333,GBIF,810548,4881.29170291,-156.541666667,71.375,1
Aesc,-7.501889,57.628083,GBIF,1073245,2401.28075878,-7.54166666667,57.625,1
Aesc,-6.213722,58.366361,GBIF,1054444,1012.6030548,-6.20833333333,58.375,1
Aesc,-9.456139,51.680645,GBIF,1208334,3084.38073946,-9.45833333333,51.7083333333,1
Aesc,-4.961575,55.721779,GBIF,1120054,1510.79644617,-4.95833333333,55.7083333333,1
Aesc,-0.606699,54.49089,GBIF,1149923,3813.26566355,-0.625,54.4583333333,1
Aesc,-3.32873,56.033264,GBIF,1111898,2492.49621018,-3.29166666667,56.0416666667,1
Aesc,-6.355556,52.170556,GBIF,1198065,4408.82780293,-6.375,52.2083333333,1
Aesc,-2.2029,49.7162,GBIF,1252131,958.703127035,-2.20833333333,49.7083333333,1
Aesc,-1.415498,55.014705,GBIF,1136230,3964.34681,-1.375,55.0416666667,1
Aesc,-14.966389,64.24,GBIF,944523,3551.81443519,-14.9583333333,64.2083333333,1
Aesc,-14.498056,64.441944,GBIF,940969,2644.92842347,-14.4583333333,64.4583333333,1
Aesc,-14.850556,65.739444,GBIF,924567,3645.83965729,-14.875,65.7083333333,1
Aesc,-14.748333,66.054444,GBIF,920440,2305.66090407,-14.7083333333,66.0416666667,1
Aesc,-13.698889,64.933889,GBIF,934276,2761.66623768,-13.7083333333,64.9583333333,1
Aesc,-20.743333,65.669722,GBIF,924555,4595.93168171,-20.7083333333,65.7083333333,1
Aesc,-19.736667,65.89,GBIF,922490,2113.72602466,-19.7083333333,65.875,1
Aesc,-15.1525,66.093611,GBIF,919417,3714.41149145,-15.125,66.125,1
Aesc,-15.0,66.366944,GBIF,916146,2069.49248061,-14.9583333333,66.375,1
Aesc,-17.839167,66.153611,GBIF,919401,3577.27664184,-17.875,66.125,1
Aesc,-16.547222,66.473333,GBIF,915009,1690.90633453,-16.5416666667,66.4583333333,1
Aesc,-16.020556,66.591111,GBIF,912792,3893.27495554,-16.0416666667,66.625,1
Aesc,-21.306111,65.528056,GBIF,926710,1658.0141619,-21.2916666667,65.5416666667,1
Aesc,-23.22,64.984722,GBIF,934267,2993.27473113,-23.2083333333,64.9583333333,1
Aesc,-24.516944,65.506667,GBIF,926683,4066.53450042,-24.5416666667,65.5416666667,1
Aesc,-22.296389,64.019444,GBIF,946917,2488.06415405,-22.2916666667,64.0416666667,1
Aesc,-22.678333,63.938611,GBIF,948115,2645.11191322,-22.7083333333,63.9583333333,1
Aesc,-22.382778,64.631667,GBIF,938668,831.186395386,-22.375,64.625,1
Aesc,-5.216493,49.959653,GBIF,1246389,603.629542849,-5.20833333333,49.9583333333,1
Aesc,-3.278379,57.722485,GBIF,1071201,1763.893605,-3.29166666667,57.7083333333,1
Aesc,-3.070824,58.644963,GBIF,1048316,2795.11662405,-3.04166666667,58.625,1
Aesc,-2.0474,60.13376,GBIF,1013306,1026.69799606,-2.04166666667,60.125,1
Aesc,-1.77271,57.511183,GBIF,1075335,3579.87534853,-1.79166666667,57.5416666667,1
Aesc,-1.303413,60.472204,GBIF,1006484,1675.13697322,-1.29166666667,60.4583333333,1
Aesc,-2.1311,49.2142,GBIF,1263429,789.45481659,-2.125,49.2083333333,1
Aesc,-2.064842,57.143347,GBIF,1085553,2478.68707305,-2.04166666667,57.125,1
Aesc,-3.400284,59.149216,GBIF,1036118,3061.3872201,-3.375,59.125,1
Aesc,-6.133633,56.442084,GBIF,1101754,1886.05410358,-6.125,56.4583333333,1
Aesc,-5.291637,50.263505,GBIF,1238766,3132.54707784,-5.29166666667,50.2916666667,1
Aesc,-5.81492,57.6507,GBIF,1073265,3181.42120988,-5.79166666667,57.625,1
Aesc,-0.138059,50.818969,GBIF,1227916,3173.67276883,-0.125,50.7916666667,1
Aesc,-4.42825,58.527614,GBIF,1050356,2349.62666274,-4.45833333333,58.5416666667,1
Aesc,-3.908918,57.754797,GBIF,1069100,4575.52596665,-3.875,57.7916666667,1
Aesc,-6.775,62.01,GBIF,978155,3635.39253837,-6.79166666667,62.0416666667,1
Aesc,-6.707778,61.633056,GBIF,985017,898.239652864,-6.70833333333,61.625,1
Aesc,-69.97166,43.44555,GBIF,1399475,1783.43372276,-69.9583333333,43.4583333333,1
Aesc,-50.669998,63.080002,GBIF,961859,4692.12140998,-50.7083333333,63.0416666667,1
Aesc,-23.0,66.0,GBIF,920387,5015.98183726,-22.9583333333,66.0416666667,1
Aesc,-6.0,62.0,GBIF,978165,5130.58934146,-5.95833333333,62.0416666667,1
Aesc,12.32,56.119999,GBIF,1110006,1848.08231077,12.2916666667,56.125,1
Aesc,8.42,55.450001,GBIF,1126251,2596.6761734,8.45833333333,55.4583333333,1
Aesc,10.27,57.619999,GBIF,1073424,1409.38812813,10.2916666667,57.625,1
