Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Aunc,-47.24,46.49,OBIS, , ,1325054,4278.48789453,-47.2083333333,46.4583333333,2
Aunc,-68.9412,48.7445,OBIS, , ,1273908,4214.80264656,-68.9583333333,48.7083333333,2
Aunc,-66.30917,44.83334,OBIS, , ,1363063,4831.95345089,-66.2916666667,44.875,2
Aunc,-63.32,46.85,OBIS, , ,1315148,3520.15400495,-63.2916666667,46.875,2
Aunc,-68.26,49.02,OBIS, , ,1266440,3341.90393672,-68.2916666667,49.0416666667,2
Aunc,-68.54,48.88,OBIS, , ,1270179,569.317524741,-68.5416666667,48.875,2
Aunc,-64.64,49.79,OBIS, , ,1249511,1095.88730537,-64.625,49.7916666667,2
Aunc,-64.63,42.97,OBIS, , ,1412693,1358.75812746,-64.625,42.9583333333,2
Aunc,-48.43,46.82,OBIS, , ,1317242,3820.75270598,-48.4583333333,46.7916666667,2
Aunc,-66.81667,44.25,OBIS, , ,1377779,5041.9311265,-66.7916666667,44.2916666667,2
Aunc,-63.68333,48.0,OBIS, , ,1288702,4994.28789757,-63.7083333333,48.0416666667,2
Aunc,-63.38333,48.43333,OBIS, , ,1279468,2847.82193355,-63.375,48.4583333333,2
Aunc,-63.81208,48.05367,OBIS, , ,1288701,2024.26754235,-63.7916666667,48.0416666667,2
Aunc,-68.01,48.71,OBIS, , ,1273919,2337.92572795,-68.0416666667,48.7083333333,2
Aunc,-60.77567,44.78742,OBIS, , ,1365160,1351.00016702,-60.7916666667,44.7916666667,2
Aunc,-57.3645,51.1492,OBIS, , ,1220207,2790.77181239,-57.375,51.125,2
Aunc,-58.41667,44.2,OBIS, , ,1380013,3456.51502238,-58.4583333333,44.2083333333,2
Aunc,-52.1,46.07,OBIS, , ,1334905,3696.08071445,-52.125,46.0416666667,2
Aunc,-51.68,46.84,OBIS, , ,1315277,4450.54375922,-51.7083333333,46.875,2
Aunc,-62.58333,43.26667,OBIS, , ,1403944,4375.96718708,-62.5416666667,43.2916666667,2
Aunc,-61.52,44.77,OBIS, , ,1365151,2956.01491704,-61.5416666667,44.7916666667,2
Aunc,-65.88,45.02,OBIS, , ,1358977,2439.894114,-65.875,45.0416666667,2
Aunc,-64.27842,48.18609,OBIS, , ,1284986,2662.16349975,-64.2916666667,48.2083333333,2
Aunc,-61.88,44.77,OBIS, , ,1365147,2440.0666504,-61.875,44.7916666667,2
Aunc,-66.15,42.63333,OBIS, , ,1421673,2249.84333214,-66.125,42.625,2
Aunc,-49.37,47.23,OBIS, , ,1307605,2438.38467349,-49.375,47.2083333333,2
Aunc,-64.11942,48.1885,OBIS, , ,1284988,2244.02354685,-64.125,48.2083333333,2
Aunc,-63.53333,43.18333,OBIS, , ,1406117,2859.23932685,-63.5416666667,43.2083333333,2
Aunc,-64.25,47.95,OBIS, , ,1290535,3247.14965532,-64.2083333333,47.9583333333,2
Aunc,-54.51,50.34,OBIS, , ,1236325,4498.40580232,-54.5416666667,50.375,2
Aunc,-63.7,48.48,OBIS, , ,1279464,2486.87635054,-63.7083333333,48.4583333333,2
Aunc,-61.46909,44.44492,OBIS, , ,1373553,1718.90835431,-61.4583333333,44.4583333333,2
Aunc,-66.57,42.87,OBIS, , ,1414897,2380.79982542,-66.5416666667,42.875,2
Aunc,-68.7978,48.754,OBIS, , ,1272044,4212.9250372,-68.7916666667,48.7916666667,2
Aunc,-65.45,42.708,OBIS, , ,1419415,683.718517404,-65.4583333333,42.7083333333,2
Aunc,-66.53333,41.55,OBIS, , ,1451626,1157.78362022,-66.5416666667,41.5416666667,2
Aunc,-66.1,44.96667,OBIS, , ,1361013,2179.20079017,-66.125,44.9583333333,2
Aunc,-64.33333,47.48333,OBIS, , ,1301731,4193.82899004,-64.2916666667,47.4583333333,2
Aunc,-57.63,44.4,OBIS, , ,1375725,2806.41932783,-57.625,44.375,2
Aunc,-53.81,54.75,OBIS, , ,1141581,4786.02525638,-53.7916666667,54.7916666667,2
Aunc,-66.98333,44.21667,OBIS, , ,1379929,2202.04064595,-66.9583333333,44.2083333333,2
Aunc,-66.2,41.95,OBIS, , ,1440116,1155.0365548,-66.2083333333,41.9583333333,2
Aunc,-63.93,48.13,OBIS, , ,1286848,2181.21377636,-63.9583333333,48.125,2
Aunc,-57.1,44.52,OBIS, , ,1371483,3121.81638363,-57.125,44.5416666667,2
Aunc,-63.73333,48.3,OBIS, , ,1283149,2073.29338948,-63.7083333333,48.2916666667,2
Aunc,-57.83,44.28,OBIS, , ,1377867,3323.06944277,-57.7916666667,44.2916666667,2
Aunc,-66.13333,44.85,OBIS, , ,1363065,2855.16876828,-66.125,44.875,2
Aunc,-63.96667,48.48333,OBIS, , ,1279461,2847.15125285,-63.9583333333,48.4583333333,2
Aunc,-57.064,51.2405,OBIS, , ,1218431,3903.93294074,-57.0416666667,51.2083333333,2
Aunc,-63.0,44.0,OBIS, , ,1384271,5709.17737655,-62.9583333333,44.0416666667,2
Aunc,-61.15334,44.69,OBIS, , ,1367234,3032.48322555,-61.125,44.7083333333,2
Aunc,-61.18,44.27,OBIS, , ,1377826,3303.31182743,-61.2083333333,44.2916666667,2
Aunc,-57.0348,51.0993,OBIS, , ,1220211,2899.29049557,-57.0416666667,51.125,2
Aunc,-59.22583,44.0235,OBIS, , ,1384316,2457.99857425,-59.2083333333,44.0416666667,2
Aunc,-63.95,48.75,OBIS, , ,1272065,4673.86875901,-63.9583333333,48.7916666667,2
Aunc,-63.76,43.24,OBIS, , ,1406114,4358.41249159,-63.7916666667,43.2083333333,2
Aunc,-55.17,55.22,OBIS, , ,1131622,2764.17331504,-55.2083333333,55.2083333333,2
Aunc,-63.39442,47.10134,OBIS, , ,1309366,3015.14565395,-63.375,47.125,2
Aunc,-63.95,48.22,OBIS, , ,1284990,1437.51139154,-63.9583333333,48.2083333333,2
