Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Upin,-1.008166,50.795342,797226,0.033709402836,-1.041673825,50.791661035,2
Upin,126.3799973,35.45999908,1199355,0.00528082351374,126.374987745,35.458328315,2
Upin,-3.010293331,53.91604065,732476,0.0516675695793,-3.041673745,53.874994245,2
Upin,-1.150033,50.796462,797225,0.0254821934475,-1.125007155,50.791661035,2
Upin,1.720807172,52.4755185,762250,0.0212439137494,1.708326065,52.458327635,2
Upin,-122.433829,37.80619,1128015,0.0284894870635,-122.458335635,37.791661555,2
Upin,134.74,35.66,1194363,0.0472115131362,134.708320745,35.624994975,1
Upin,-8.93999958,42.54000092,993959,0.0184156048652,-8.958340175,42.541661365,1
Upin,-1.985133184,50.6915211,799014,0.0316277140953,-1.958340455,50.708327705,1
Upin,-3.76215798,50.23745011,809992,0.0414643451736,-3.791673715,50.208327725,1
Upin,3.029999971,42.86999893,984910,0.0126845800124,3.041659345,42.874994685,1
Upin,-1.433793,50.798184,797221,0.0253993622217,-1.458340475,50.791661035,1
Upin,0.89565232,51.77366954,775964,0.0273954314771,0.874992765,51.791660995,1
Upin,-4.125622812,50.33661556,806244,0.0383837646629,-4.125007035,50.374994385,1
Upin,134.95,34.27,1234560,0.0232048197841,134.958320735,34.291661695,1
Upin,1.257285663,51.86224739,774250,0.0366611398957,1.291659415,51.874994325,1
Upin,-2.448739382,50.60701535,800819,0.0203819910377,-2.458340435,50.624994375,1
Upin,-3.501045719,50.4524961,804433,0.041044397974,-3.541673725,50.458327715,1
Upin,125.4300003,34.65999985,1224220,0.0450267368975,125.458321115,34.624995015,1
Upin,135.151,34.3217,1234562,0.0397360715995,135.124987395,34.291661695,1
Upin,-0.065753069,53.5774511,739772,0.0431363500056,-0.041673865,53.541660925,1
Upin,3.95285,51.56081,781280,0.0199165838363,3.958325975,51.541661005,1
Upin,1.615055,50.77295,797256,0.0211863495605,1.624992735,50.791661035,1
Upin,141.4917,38.6511,1104622,0.0423753617648,141.458320475,38.624994855,1
Upin,140.9884,42.3051,1001298,0.0329450036111,140.958320495,42.291661375,1
Upin,133.556,34.358,1231975,0.0222403912795,133.541654125,34.374995025,1
Upin,2.70445765,51.46482648,783056,0.00756298826976,2.708326025,51.458327675,1
Upin,126.0,35.18000031,1206810,0.0503742747434,126.041654425,35.208328325,1
Upin,126.5299988,36.24000168,1176456,0.033749919685,126.541654405,36.208328285,1
Upin,-4.525837942,54.1220987,726896,0.016098288086,-4.541673685,54.124994235,1
Upin,-0.868477,50.704141,799026,0.00775703253082,-0.875007165,50.708327705,1
Upin,129.7299957,36.70000076,1161381,0.0232194389216,129.708320945,36.708328265,1
Upin,-5.082787019,50.16221815,811886,0.0554609395289,-5.041673665,50.124994395,1
Upin,1.868625,50.95428,793695,0.00754531354476,1.874992725,50.958327695,1
Upin,4.190674748,53.61507927,738032,0.0202453053603,4.208325965,53.624994255,1
Upin,125.6999969,37.70000076,1131655,0.0117745090007,125.708321105,37.708328225,1
Upin,126.0800018,36.22999954,1176450,0.0440472980178,126.041654425,36.208328285,1
Upin,126.2300034,35.15999985,1209269,0.0411759961304,126.208321085,35.124994995,1
Upin,-0.157212,50.785004,797236,0.0328856439815,-0.125007195,50.791661035,1
Upin,-8.754444444,40.64111111,1046913,0.0405677209288,-8.791673515,40.624994775,1
Upin,-123.058456,38.329151,1113167,0.0410763338379,-123.041668945,38.291661535,1
Upin,-6.190618,54.052162,728750,0.0205998150919,-6.208340285,54.041660905,1
Upin,-5.813804,54.710829,713383,0.0222712894137,-5.791673635,54.708327545,1
Upin,12.44,45.4697,918927,0.0215674109573,12.458325635,45.458327915,1
