Sps,longitude,latitude,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Smut,-4.305841383,53.13116546,748468,0.0154533785163,-4.291673695,53.124994275,2
Smut,-122.47758,37.81406,1128015,0.0295302543618,-122.458335635,37.791661555,2
Smut,-122.43497,37.86798,1125547,0.0243959322535,-122.458335635,37.874994885,2
Smut,-119.202,34.14823,1238387,0.0240833036913,-119.208335765,34.124995035,2
Smut,-4.288364,51.136852,790154,0.0123108824192,-4.291673695,51.124994355,2
Smut,-120.86014,35.21254,1205575,0.0154475920356,-120.875002365,35.208328325,2
Smut,-125.2274,49.9954,814973,0.0416870128368,-125.208335525,49.958327735,2
Smut,-117.23476,32.68613,1282169,0.0345109553612,-117.208335845,32.708328425,2
Smut,-123.93933,49.75718,818797,0.0393720257827,-123.958335575,49.791661075,2
Smut,-125.1447,49.8955,816884,0.0284338345659,-125.125002195,49.874994405,2
Smut,-118.26968,29.171511,1385558,0.042884206307,-118.291669135,29.208328565,2
Smut,-115.916667,30.366667,1351056,0.0424886315297,-115.875002565,30.374995185,2
Smut,-116.681667,31.705,1312235,0.026875770494,-116.708335865,31.708328465,2
Smut,-115.810556,29.949444,1363216,0.0208721070889,-115.791669235,29.958328535,2
Smut,-116.033333,30.45,1348660,0.0117837519219,-116.041669225,30.458328515,2
Smut,-116.680833,31.551389,1317218,0.0291723483075,-116.708335865,31.541661805,2
Smut,-116.319722,30.955278,1334378,0.0282181549007,-116.291669215,30.958328495,2
Smut,-116.790278,31.791667,1309752,0.00139120473692,-116.791669195,31.791661795,2
Smut,-115.186639,28.031678,1421227,0.0238837960178,-115.208335925,28.041661945,2
Smut,-115.1975,28.363528,1411017,0.0157770541352,-115.208335925,28.374995265,2
Smut,-115.355092,28.081761,1421225,0.0447701419133,-115.375002585,28.041661945,2
Smut,-118.573,32.9719,1274465,0.0341439840628,-118.541669125,32.958328415,2
Smut,5.512395,59.777665,590116,0.032438787803,5.541659245,59.791660675,2
Smut,-128.075,52.179167,766780,0.0442867449322,-128.041668745,52.208327645,2
Smut,-8.73,40.630001,1046914,0.0222308316215,-8.708340185,40.624994775,2
Smut,-158.117,21.3167,1640867,0.0262850656927,-158.125000875,21.291662215,2
Smut,122.4833,37.15,1148901,0.0353439241848,122.458321235,37.124994915,2
Smut,-124.4682,49.3597,828252,0.0181996349205,-124.458335555,49.374994425,1
Smut,-128.37938,52.2013,766776,0.00827974088425,-128.375002065,52.208327645,1
Smut,-123.77238,48.98742,837615,0.0349058705282,-123.791668915,48.958327775,1
Smut,-124.2553,49.3153,830129,0.0433761956967,-124.291668895,49.291661095,1
Smut,-123.9683,49.2056,832007,0.0103310438715,-123.958335575,49.208327765,1
Smut,-128.108,51.83833,773629,0.0404146419261,-128.125002075,51.874994325,1
Smut,-126.90747,49.94777,814967,0.0341413045349,-126.875002125,49.958327735,1
Smut,-123.69,49.1408,833880,0.0242076343797,-123.708335585,49.124994435,1
Smut,-123.494,48.80672,841348,0.038713302642,-123.458335595,48.791661115,1
Smut,-5.68702139,54.54756143,717276,0.022120410667,-5.708340305,54.541660885,1
Smut,-6.110726814,54.04090985,728751,0.0142998779922,-6.125006955,54.041660905,1
Smut,-4.271405036,52.2608991,765694,0.0368389941662,-4.291673695,52.291660975,1
Smut,-3.947173051,51.54724403,781234,0.0124851629333,-3.958340375,51.541661005,1
Smut,-5.100818073,51.72075792,777695,0.027195867092,-5.125006995,51.708327665,1
Smut,-9.66499581,53.31550132,745010,0.0465562420955,-9.625006815,53.291660935,1
Smut,-8.78419354,54.66526472,715323,0.0409592919733,-8.791673515,54.624994215,1
Smut,-8.43716438,54.96882925,707516,0.0236368601734,-8.458340195,54.958327535,1
Smut,-8.93999958,42.54000092,993959,0.0184156048652,-8.958340175,42.541661365,1
Smut,-1.948411806,50.60786812,800825,0.0197961279368,-1.958340455,50.624994375,1
Smut,-4.449536003,50.34913146,806240,0.0273204594342,-4.458340355,50.374994385,1
Smut,-4.100797056,50.31547785,808096,0.0339611956099,-4.125007035,50.291661055,1
Smut,-5.063943875,50.06465068,813800,0.0320075717806,-5.041673665,50.041661065,1
Smut,1.263459386,51.10103087,790158,0.0370066243928,1.291659415,51.124994355,1
Smut,-3.497962691,50.39946687,806246,0.0465706867287,-3.458340395,50.374994385,1
Smut,-4.160850456,53.22110606,746765,0.0380531173647,-4.125007035,53.208327605,1
Smut,-4.658184005,51.18473289,788372,0.0407115096324,-4.625007015,51.208327685,1
Smut,-0.979167711,50.78778456,797227,0.0211848999227,-0.958340495,50.791661035,1
Smut,0.89565232,51.77366954,775964,0.0273954314771,0.874992765,51.791660995,1
Smut,-6.345926141,49.95797569,815695,0.0290829348067,-6.375006945,49.958327735,1
Smut,-4.680468474,51.64116109,779461,0.0322211911678,-4.708340345,51.624994335,1
Smut,-8.742778,41.31,1028564,0.0390162376681,-8.708340185,41.291661415,1
Smut,-8.87734,41.74468,1017027,0.0364267318119,-8.875006845,41.708328065,1
