Sps,lon,Lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Gtri,-161.9405,70.722205,OBIS, , ,831366,1681.58742961,-161.958333333,70.7083333333,2
Gtri,-64.69,50.04,OBIS, , ,1243775,1326.32807838,-64.7083333333,50.0416666667,2
Gtri,-161.5377,70.845175,OBIS, , ,826341,3330.82282921,-161.541666667,70.875,2
Gtri,-133.15,69.62166667,OBIS, , ,861476,1040.58300989,-133.125,69.625,2
Gtri,-162.25665,70.627945,OBIS, , ,833840,1337.92054877,-162.291666667,70.625,2
Gtri,-64.32009,48.1495,OBIS, , ,1286844,3449.14901944,-64.2916666667,48.125,2
Gtri,-68.3,49.05,OBIS, , ,1266440,1109.05647304,-68.2916666667,49.0416666667,2
Gtri,-64.5728,49.7303,OBIS, , ,1251412,3318.09365198,-64.5416666667,49.7083333333,2
Gtri,-132.6916667,69.83,OBIS, , ,857330,4324.40427399,-132.708333333,69.7916666667,2
Gtri,-57.1115,51.1673,OBIS, , ,1218430,4661.58498682,-57.125,51.2083333333,2
Gtri,-134.65,70.216667,OBIS, , ,846254,1325.64218436,-134.625,70.2083333333,2
Gtri,-68.99,48.61,OBIS, , ,1275765,2869.42868215,-68.9583333333,48.625,2
Gtri,-64.26,48.30542,OBIS, , ,1283142,2803.35865835,-64.2916666667,48.2916666667,2
Gtri,-133.0333333,69.83333333,OBIS, , ,855170,4659.37326482,-133.041666667,69.875,2
Gtri,-64.25925,48.012,OBIS, , ,1288695,4089.88622782,-64.2916666667,48.0416666667,2
Gtri,-63.1345,49.8597,OBIS, , ,1247619,1833.70395353,-63.125,49.875,2
Gtri,-68.4885,48.7313,OBIS, , ,1273914,3383.77910332,-68.4583333333,48.7083333333,2
Gtri,-63.4507,49.2978,OBIS, , ,1260881,879.535562688,-63.4583333333,49.2916666667,2
Gtri,-133.5833333,70.3,OBIS, , ,843922,1823.36336048,-133.541666667,70.2916666667,2
Gtri,-52.89,46.24,OBIS, , ,1330903,3705.28452441,-52.875,46.2083333333,2
Gtri,-64.09217,48.01325,OBIS, , ,1288697,3997.42703805,-64.125,48.0416666667,2
Gtri,-134.15,70.41666667,OBIS, , ,839090,4741.66914406,-134.125,70.4583333333,2
Gtri,-63.43,49.88,OBIS, , ,1247615,2111.10532261,-63.4583333333,49.875,2
Gtri,-68.6763,48.5472,OBIS, , ,1277614,2443.96464974,-68.7083333333,48.5416666667,2
Gtri,-132.3333333,70.03333333,OBIS, , ,850791,1840.33764782,-132.291666667,70.0416666667,2
Gtri,-132.966667,70.183333,OBIS, , ,846274,2806.90838363,-132.958333333,70.2083333333,2
Gtri,-69.0757,48.346,OBIS, , ,1281287,4093.81774958,-69.0416666667,48.375,2
Gtri,-63.818,49.555,OBIS, , ,1255210,2414.63858553,-63.7916666667,49.5416666667,2
Gtri,-133.428333,69.621667,OBIS, , ,861472,1224.09614271,-133.458333333,69.625,2
Gtri,-164.87255,71.02273,OBIS, , ,821073,2114.72472496,-164.875,71.0416666667,2
