Sps,lan,lat,Source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Zmar,144.9059,43.0622,OBIS,1411530,3397.24902619,144.875,43.0416666667,2
Zmar,-5.781870282,57.74307547,OBIS,1071185,3913.10957324,-5.79166666667,57.7083333333,2
Zmar,-60.89,46.06,OBIS,1334806,2345.26152725,-60.875,46.0416666667,2
Zmar,-132.5266571,54.05971909,OBIS,1158768,2236.93489535,-132.541666667,54.0416666667,2
Zmar,-132.5935364,53.97761154,OBIS,1160626,2977.88121927,-132.625,53.9583333333,2
Zmar,-60.7,46.12,OBIS,1332804,850.732250608,-60.7083333333,46.125,2
Zmar,18.68997,59.52012,OBIS,1026512,2615.66428985,18.7083333333,59.5416666667,2
Zmar,-60.49,45.95,OBIS,1336819,2623.94993026,-60.4583333333,45.9583333333,2
Zmar,4.761,53.1,GBIF,1179204,3457.98086836,4.79166666667,53.125,2
Zmar,-116.05,30.466667,GBIF,1779340,1222.29989809,-116.041666667,30.4583333333,2
Zmar,-117.25881,32.8332,GBIF,1710296,5539.33937261,-117.291666667,32.7916666667,2
Zmar,-117.25378,32.74763,GBIF,1712848,5621.82130274,-117.291666667,32.7083333333,2
Zmar,-118.08878,33.73675,GBIF,1681989,4604.78564794,-118.125,33.7083333333,2
Zmar,-112.19527,29.01972,GBIF,1821363,2745.22304866,-112.208333333,29.0416666667,2
Zmar,-118.275,29.1625,GBIF,1818764,4461.60506943,-118.291666667,29.125,2
Zmar,11.357355,63.93539,GBIF,948451,2699.9687819,11.375,63.9583333333,2
Zmar,145.32,43.29,GBIF,1404948,2306.84429934,145.291666667,43.2916666667,2
Zmar,-158.4615,56.1858,GBIF,1106664,2516.67168371,-158.458333333,56.2083333333,2
Zmar,19.89076,60.085268,GBIF,1013424,4512.66699718,19.875,60.125,2
Zmar,21.398823,60.594341,GBIF,1003383,3656.8083732,21.375,60.625,2
Zmar,-130.3,54.3,GBIF,1153120,1074.62314731,-130.291666667,54.2916666667,2
Zmar,-128.1,52.2,GBIF,1197459,1944.46180106,-128.125,52.2083333333,2
Zmar,-153.86069,59.11621,GBIF,1034953,1276.92206274,-153.875,59.125,2
Zmar,-132.4,53.1,GBIF,1178489,3247.02676082,-132.375,53.125,2
Zmar,-153.19,57.2,GBIF,1082412,1445.34061084,-153.208333333,57.2083333333,2
Zmar,-122.45639,37.89472,GBIF,1556227,2195.47351724,-122.458333333,37.875,2
Zmar,-77.2,55.65,GBIF,1121409,2832.42267033,-77.2083333333,55.625,2
Zmar,32.70692,67.07245,GBIF,907706,3433.58889009,32.7083333333,67.0416666667,2
Zmar,25.82252,60.271153,GBIF,1009997,2852.64797667,25.7916666667,60.2916666667,2
Zmar,-112.190737,29.15404901,GBIF,1818823,3646.71566916,-112.208333333,29.125,2
