Sps,lon,lat,Field4,Field5,Field6,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mtru,-0.98459,60.64618, , , ,572573,0.0337325387133,-0.958340495,60.624993975,1
Mtru,8.932510821,56.93622431, , , ,659080,0.0339847152248,8.958325775,56.958327455,1
Mtru,-3.74453,51.42572, , , ,783018,0.048712921312,-3.708340385,51.458327675,1
Mtru,1.97663,52.80214, , , ,755357,0.0210913438803,1.958326055,52.791660955,1
Mtru,9.6687,55.7041, , , ,689501,0.0398506143658,9.708325745,55.708327505,1
Mtru,10.04,54.533333, , , ,717424,0.00849153491705,10.041659065,54.541660885,1
Mtru,13.309833,55.278167, , , ,699667,0.0226358291517,13.291658935,55.291660855,1
Mtru,8.606672287,58.35310856, , , ,623892,0.0285412663463,8.624992455,58.374994065,1
Mtru,10.1667,55.0667, , , ,705680,0.0485763241026,10.208325725,55.041660865,1
Mtru,-5.712007112,57.27398699, , , ,650787,0.0180501565035,-5.708340305,57.291660775,1
Mtru,-1.348253572,60.36301091, , , ,577472,0.0293146337982,-1.375007145,60.374993985,1
Mtru,-5.06905,55.90893, , , ,685327,0.0436016583994,-5.041673665,55.874994165,1
Mtru,-4.62445,51.30108333, , , ,786603,0.00943876505001,-4.625007015,51.291661015,1
Mtru,10.5322,55.6027, , , ,691534,0.0242178399376,10.541659045,55.624994175,1
Mtru,-2.77642,58.95728, , , ,609481,0.0152896708922,-2.791673755,58.958327375,1
Mtru,1.919,52.03717, , , ,770847,0.0395816567128,1.958326055,52.041660985,1
Mtru,-0.639262,53.668735, , , ,736155,0.0420805515977,-0.625007175,53.708327585,1
Mtru,-1.26,55.0, , , ,705551,0.0523341019719,-1.291673815,55.041660865,1
Mtru,-3.55151,53.5458, , , ,739766,0.0106716562787,-3.541673725,53.541660925,1
Mtru,0.79031,53.36186, , , ,743317,0.0132034045575,0.791659435,53.374994265,1
Mtru,11.0041,56.4428, , , ,671225,0.0406421313273,11.041659025,56.458327475,1
Mtru,3.291111,54.857222, , , ,709570,0.017780662019,3.291659335,54.874994205,1
