Sps,decimalLon,decimalLat,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Msco,-160.7164,71.07851, , ,821123,4121.18141277,-160.708333333,71.0416666667,2
Msco,-161.9405,70.722205, , ,831366,1681.58742961,-161.958333333,70.7083333333,2
Msco,-162.25665,70.627945, , ,833840,1337.92054877,-162.291666667,70.625,2
Msco,-164.8732,71.023255, , ,821073,2055.3163209,-164.875,71.0416666667,2
Msco,-164.126,70.520215, , ,836328,2393.62307192,-164.125,70.5416666667,2
Msco,10.518697,59.295117, , ,1032298,1364.20779981,10.5416666667,59.2916666667,2
Msco,10.451802,59.06415, , ,1038265,2532.44511783,10.4583333333,59.0416666667,2
Msco,-79.583333,52.25, , ,1195780,5439.26372369,-79.5416666667,52.2916666667,2
Msco,-76.583333,56.116667, , ,1109152,2752.64531906,-76.5416666667,56.125,2
Msco,-76.65,56.2, , ,1107116,1807.86613303,-76.625,56.2083333333,2
Msco,-68.283333,58.721667, , ,1045519,1561.78094921,-68.2916666667,58.7083333333,2
Msco,12.90467,55.7603, , ,1118192,3957.61812883,12.875,55.7916666667,2
Msco,3.17945,51.33865, , ,1215535,4516.95461051,3.20833333333,51.375,2
Msco,3.060995,51.472502, , ,1213740,2071.00821292,3.04166666667,51.4583333333,2
Msco,3.55,51.4, , ,1215539,2841.24128039,3.54166666667,51.375,2
Msco,3.65,51.65, , ,1210187,3276.03700066,3.625,51.625,2
Msco,4.5,52.45, , ,1192964,2980.45920287,4.54166666667,52.4583333333,2
Msco,5.2,53.35, , ,1174050,2837.09788558,5.20833333333,53.375,2
Msco,5.65,53.35, , ,1174055,3242.12402204,5.625,53.375,2
Msco,4.1,51.95, , ,1203259,1952.86436733,4.125,51.9583333333,2
Msco,4.6,52.7, , ,1187790,1927.60306311,4.625,52.7083333333,2
Msco,4.0,51.85, , ,1204963,3997.03258624,4.04166666667,51.875,2
Msco,24.662186,70.994109, , ,825296,4214.83150527,24.625,70.9583333333,2
Msco,-68.0446,42.48442, , ,1426219,2907.79393969,-68.0416666667,42.4583333333,2
Msco,-68.743577,43.893858, , ,1388559,3523.05620355,-68.7083333333,43.875,2
Msco,5.269041,52.631452, , ,1189520,1691.93190128,5.29166666667,52.625,2
Msco,5.12247,52.442483, , ,1192966,1772.12740116,5.125,52.4583333333,2
Msco,4.316101,51.750386, , ,1206685,4892.9065421,4.29166666667,51.7916666667,2
Msco,12.781212,55.825975, , ,1118191,3875.67045188,12.7916666667,55.7916666667,2
Msco,11.169491,59.054464, , ,1038274,2646.18794211,11.2083333333,59.0416666667,2
Msco,8.592682,54.558128, , ,1148097,2780.46791105,8.625,54.5416666667,2
Msco,8.603668,54.377758, , ,1151967,1419.80138692,8.625,54.375,2
Msco,-57.31925,44.55992, , ,1371481,2986.33328292,-57.2916666667,44.5416666667,2
Msco,-65.91258,45.0735, , ,1358977,4612.77550732,-65.875,45.0416666667,2
Msco,-65.74317,44.80375, , ,1365129,3066.08664067,-65.7083333333,44.7916666667,2
Msco,-66.95125,44.05875, , ,1384240,1981.24390919,-66.9583333333,44.0416666667,2
Msco,-60.21059,43.67642, , ,1393017,3550.43470599,-60.2083333333,43.7083333333,2
Msco,-59.18659,43.75425, , ,1390843,4510.82720266,-59.2083333333,43.7916666667,2
Msco,-60.717,44.66858, , ,1367239,4470.72135242,-60.7083333333,44.7083333333,2
Msco,-60.88467,44.55484, , ,1371438,1653.28421732,-60.875,44.5416666667,2
Msco,-58.69375,44.31617, , ,1377856,2961.01659529,-58.7083333333,44.2916666667,2
Msco,-57.557,44.38092, , ,1375726,1387.80686028,-57.5416666667,44.375,2
Msco,-66.16759,41.92284, , ,1440116,5192.09669693,-66.2083333333,41.9583333333,2
Msco,-59.15,44.16667, , ,1380005,5042.5398118,-59.125,44.2083333333,2
Msco,-66.38333,45.0, , ,1358971,4676.82234725,-66.375,45.0416666667,2
Msco,-67.0,43.86667, , ,1388580,3474.70085012,-66.9583333333,43.875,2
Msco,-5.54413,54.29077, , ,1153763,188.922242814,-5.54166666667,54.2916666667,2
Msco,12.710838,55.924266, , ,1114117,3796.31039563,12.7083333333,55.9583333333,2
Msco,12.087536,54.181828, , ,1155830,3831.87385834,12.125,54.2083333333,2
Msco,-133.133331,55.48, , ,1125342,2469.0709588,-133.125,55.4583333333,2
Msco,-163.083328,71.199997, , ,815802,1763.92981402,-163.041666667,71.2083333333,2
Msco,-168.417999,65.330002, , ,929461,4669.72923326,-168.458333333,65.2916666667,2
Msco,-165.21666,56.66, , ,1096514,3930.71112477,-165.208333333,56.625,2
Msco,-168.483994,65.0, , ,932704,4800.43643164,-168.458333333,65.0416666667,2
Msco,178.633331,64.449997, , ,941362,1012.19923366,178.625,64.4583333333,2
Msco,11.833333,55.91, , ,1116160,4688.46094596,11.7916666667,55.875,2
Msco,-172.449997,64.260002, , ,942633,3553.0576172,-172.458333333,64.2916666667,2
Msco,-168.451996,65.529999, , ,926130,1333.5308869,-168.458333333,65.5416666667,2
Msco,12.6115,56.0246, , ,1112061,2078.2654912,12.625,56.0416666667,2
Msco,12.5966,55.772, , ,1118189,2823.0825028,12.625,55.7916666667,2
Msco,-66.47,43.38, , ,1401706,1096.58017644,-66.4583333333,43.375,2
Msco,-68.87,40.58, , ,1479177,4277.75203585,-68.875,40.5416666667,2
Msco,-65.92,41.97, , ,1440119,3431.78786918,-65.9583333333,41.9583333333,2
Msco,-66.22,42.28, , ,1430850,1614.10706529,-66.2083333333,42.2916666667,2
Msco,-52.2,46.21, , ,1330911,669.243315469,-52.2083333333,46.2083333333,2
Msco,-53.31,45.35, , ,1350997,3127.79402164,-53.2916666667,45.375,2
Msco,-53.54,45.26, , ,1353022,3521.77270302,-53.5416666667,45.2916666667,2
Msco,-53.62,45.54, , ,1346958,432.214222496,-53.625,45.5416666667,2
Msco,-53.5,45.37, , ,1350995,3310.8945775,-53.4583333333,45.375,2
Msco,-52.55,45.92, , ,1336909,4309.48396902,-52.5416666667,45.9583333333,2
Msco,-52.1,46.41, , ,1326955,4339.79479032,-52.125,46.375,2
Msco,-52.46,46.16, , ,1332900,3892.52422429,-52.4583333333,46.125,2
Msco,-52.95,46.1, , ,1332894,2852.53516454,-52.9583333333,46.125,2
Msco,-52.22,43.85, , ,1388747,2931.80572322,-52.2083333333,43.875,2
Msco,-52.22,45.98, , ,1336913,2572.4294659,-52.2083333333,45.9583333333,2
Msco,-52.94,45.94, , ,1336904,2484.55208636,-52.9583333333,45.9583333333,2
Msco,-53.1,45.91, , ,1338920,4347.26464669,-53.125,45.875,2
Msco,-53.06,45.62, , ,1344961,1533.98700611,-53.0416666667,45.625,2
Msco,-54.7,45.51, , ,1346945,3579.20309402,-54.7083333333,45.5416666667,2
Msco,-54.8,45.64, , ,1344940,1789.31649114,-54.7916666667,45.625,2
Msco,-54.73,45.32, , ,1353008,3578.12676773,-54.7083333333,45.2916666667,2
Msco,-53.62,45.78, , ,1340934,1353.75241034,-53.625,45.7916666667,2
Msco,-54.94,45.37, , ,1350977,1539.89018236,-54.9583333333,45.375,2
Msco,-53.58,46.0, , ,1334888,5500.91044518,-53.5416666667,46.0416666667,2
Msco,-53.02,45.49, , ,1348978,3906.01503069,-53.0416666667,45.4583333333,2
Msco,-53.6,45.12, , ,1357062,2043.94853636,-53.625,45.125,2
Msco,-54.24,45.32, , ,1353014,4010.40544514,-54.2083333333,45.2916666667,2
Msco,-51.77,46.57, , ,1323038,3560.96679487,-51.7916666667,46.5416666667,2
Msco,-53.22,46.12, , ,1332891,1059.25321203,-53.2083333333,46.125,2
Msco,-53.17,46.04, , ,1334892,2973.01868546,-53.2083333333,46.0416666667,2
Msco,-53.84,44.95, , ,1361126,2912.97022938,-53.875,44.9583333333,2
Msco,-54.35,45.18, , ,1355029,3711.39709881,-54.375,45.2083333333,2
Msco,-54.13,45.16, , ,1357056,3909.53851994,-54.125,45.125,2
Msco,-54.28,45.62, , ,1344946,1066.15105849,-54.2916666667,45.625,2
Msco,-53.94,45.81, , ,1340930,2486.67702428,-53.9583333333,45.7916666667,2
Msco,-53.36,45.64, , ,1344957,2036.52536741,-53.375,45.625,2
Msco,-53.39,45.28, , ,1353024,1751.01507077,-53.375,45.2916666667,2
Msco,-53.23,45.43, , ,1348976,3576.23103372,-53.2083333333,45.4583333333,2
Msco,-52.27,45.73, , ,1342958,2940.18193977,-52.2916666667,45.7083333333,2
Msco,-55.47,45.36, , ,1350971,1901.19184891,-55.4583333333,45.375,2
Msco,-54.77,45.18, , ,1355024,3579.65635682,-54.7916666667,45.2083333333,2
Msco,-54.47,45.52, , ,1346948,2574.76231158,-54.4583333333,45.5416666667,2
Msco,-49.93,47.44, , ,1301888,2953.05362655,-49.9583333333,47.4583333333,2
