Sp,lon,lat,Source,Field5,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Slat,-123.336,48.4981,OBIS, ,1279435,5279.04871662,-123.375,48.4583333333,1
Slat,-5.740063983,57.02677431,OBIS, ,1087593,2542.0525876,-5.70833333333,57.0416666667,1
Slat,-8.38947,54.87705,OBIS, ,1140168,956.471531471,-8.375,54.875,1
Slat,-9.47697,52.81655,OBIS, ,1186002,3040.97578353,-9.45833333333,52.7916666667,1
Slat,-131.9255219,53.04650879,OBIS, ,1180206,2265.63952802,-131.958333333,53.0416666667,1
Slat,-70.10529327,43.82093811,OBIS, ,1390717,3618.29280891,-70.125,43.7916666667,1
Slat,-7.20259133,52.13571908,OBIS, ,1199776,1255.85274963,-7.20833333333,52.125,1
Slat,-131.5639343,52.96070099,OBIS, ,1181927,1519.40553192,-131.541666667,52.9583333333,1
Slat,-2.42461,50.528998,OBIS, ,1233310,2775.29081073,-2.45833333333,50.5416666667,1
Slat,-1.165406335,59.99738874,OBIS, ,1016960,4901.38888034,-1.125,59.9583333333,1
Slat,-0.42883,49.35283,OBIS, ,1259699,3266.83010505,-0.458333333333,49.375,1
Slat,-7.223622544,57.08964361,OBIS, ,1085532,4044.88604924,-7.20833333333,57.125,1
Slat,-5.534333291,57.5497394,OBIS, ,1075330,1000.56568138,-5.54166666667,57.5416666667,1
Slat,-3.585628547,54.56919667,OBIS, ,1147981,3984.98193059,-3.625,54.5416666667,1
Slat,-8.97127,53.25614,OBIS, ,1175693,4046.90639389,-8.95833333333,53.2916666667,1
Slat,-9.800819,51.65511,OBIS, ,1210087,3409.44279558,-9.79166666667,51.625,1
Slat,-6.017161,54.022916,OBIS, ,1159432,2633.28265448,-6.04166666667,54.0416666667,1
Slat,-6.214325,56.390508,OBIS, ,1103766,1766.019715,-6.20833333333,56.375,1
Slat,-147.579,70.322,OBIS, ,843754,3664.09817945,-147.541666667,70.2916666667,1
Slat,-66.89099884,45.0379982,OBIS, ,1358965,1324.86937068,-66.875,45.0416666667,1
Slat,-4.448478,54.100937,OBIS, ,1157577,2754.83957843,-4.45833333333,54.125,1
Slat,-0.909034777,54.583656,OBIS, ,1146043,5100.80053353,-0.875,54.625,1
Slat,-2.517718657,59.22127367,OBIS, ,1034145,1987.21157501,-2.54166666667,59.2083333333,1
Slat,-6.00857,52.79338,OBIS, ,1186006,2240.78173857,-6.04166666667,52.7916666667,1
Slat,-71.36100006,41.47900009,OBIS, ,1453869,2576.08152358,-71.375,41.4583333333,1
Slat,-4.528183262,53.22556623,OBIS, ,1177442,2118.82474275,-4.54166666667,53.2083333333,1
