Sps,lon,lat,Source,Lon_dd,Lat_dd,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Mdes,-52.48,51.63,OBIS, , ,1209575,1600.15599549,-52.4583333333,51.625,2
Mdes,-65.68333333,59.2,OBIS, , ,1033408,1703.53016967,-65.7083333333,59.2083333333,2
Mdes,-133.008333,69.621667,OBIS, , ,861477,1348.13120912,-133.041666667,69.625,2
Mdes,-57.0,74.55,OBIS, , ,693355,1549.92556276,-56.9583333333,74.5416666667,2
Mdes,-55.94,54.63,OBIS, , ,1145437,1308.36005917,-55.9583333333,54.625,2
Mdes,-67.96666667,60.58333333,OBIS, , ,1002465,4664.99328952,-67.9583333333,60.625,2
Mdes,-130.7333374,69.58000183,OBIS, , ,863443,4386.24374747,-130.708333333,69.5416666667,2
Mdes,-45.316667,59.9,GBIF, , ,1018298,3117.20635858,-45.2916666667,59.875,2
Mdes,-44.033333,59.483333,GBIF, , ,1027824,2824.82837956,-44.0416666667,59.4583333333,2
Mdes,-44.116667,59.683333,GBIF, , ,1022094,2824.46630665,-44.125,59.7083333333,2
Mdes,-51.683333,63.0,GBIF, , ,961847,4813.69333311,-51.7083333333,63.0416666667,2
Mdes,-79.04361111,51.90305556,DFO Arctic database, , ,1204336,3124.47792788,-79.0416666667,51.875,2
Mdes,-79.20472222,51.94694444,DFO Arctic database, , ,1202631,1291.29245102,-79.2083333333,51.9583333333,2
Mdes,-132.8833333,69.45,DFO Arctic database, , ,865377,985.30384355,-132.875,69.4583333333,2
Mdes,-94.18333435,58.78333282,OBIS, , ,1043272,1718.05983276,-94.2083333333,58.7916666667,1
Mdes,-128.0333405,70.34999847,OBIS, , ,841603,2806.77667322,-128.041666667,70.375,1
Mdes,-105.966667,69.116667,OBIS, , ,872569,986.927648854,-105.958333333,69.125,1
Mdes,-70.0,60.0,OBIS, , ,1014298,5191.22204008,-69.9583333333,60.0416666667,1
Mdes,-64.72,63.2975,OBIS, , ,957820,874.795003085,-64.7083333333,63.2916666667,1
Mdes,-61.5,56.95,OBIS, , ,1088957,2699.7864054,-61.4583333333,56.9583333333,1
Mdes,-71.5,61.66666667,OBIS, , ,982907,5140.55873599,-71.4583333333,61.7083333333,1
Mdes,-171.1833344,68.59999847,OBIS, , ,882135,2968.6950056,-171.208333333,68.625,1
Mdes,-69.05,58.88333333,OBIS, , ,1041424,1045.32626156,-69.0416666667,58.875,1
Mdes,-68.513333,63.713333,OBIS, , ,951400,1507.52941357,-68.5416666667,63.7083333333,1
Mdes,-124.7916565,70.19999695,OBIS, , ,846372,930.045312747,-124.791666667,70.2083333333,1
Mdes,-64.17,63.318333,OBIS, , ,957826,3539.75888729,-64.2083333333,63.2916666667,1
Mdes,-158.0,56.36000061,OBIS, , ,1102648,3069.19067797,-157.958333333,56.375,1
Mdes,-78.66666667,74.41666667,OBIS, , ,696639,4815.15030448,-78.7083333333,74.4583333333,1
Mdes,-77.43333333,55.525,OBIS, , ,1123441,2436.17428992,-77.4583333333,55.5416666667,1
Mdes,-50.67,51.95,OBIS, , ,1202701,2793.70393956,-50.7083333333,51.9583333333,1
Mdes,-130.4833374,69.58000183,OBIS, , ,863446,4386.24374747,-130.458333333,69.5416666667,1
Mdes,-115.0,68.86666667,OBIS, , ,877520,1917.28452722,-114.958333333,68.875,1
Mdes,-171.55,63.1,OBIS, , ,960040,2818.15657233,-171.541666667,63.125,1
Mdes,-160.1166687,70.59999847,OBIS, , ,833866,2806.45186383,-160.125,70.625,1
Mdes,-156.4666595,71.37999725,OBIS, , ,810549,631.693322416,-156.458333333,71.375,1
Mdes,-106.0833435,69.43000031,OBIS, , ,865472,3557.61940412,-106.125,69.4583333333,1
Mdes,-138.9,69.566667,OBIS, , ,863367,2954.470467,-138.875,69.5416666667,1
